uid	sample	species	rank	ecotype	collection
GCA_003280135.1	AG-363-N16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280105.1	AG-363-N20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280085.1	AG-363-O06	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278255.1	AG-363-O15	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280095.1	AG-363-O16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278245.1	AG-363-O21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278225.1	AG-363-P01	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280025.1	AG-363-P06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278195.1	AG-363-P08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278175.1	AG-363-P15	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280055.1	AG-363-P19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280005.1	AG-365-D07	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003280015.1	AG-365-O22	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279985.1	AG-365-P18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279945.1	AG-388-A01	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279935.1	AG-388-A04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279925.1	AG-388-B05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279875.1	AG-388-D03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279855.1	AG-388-E21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279845.1	AG-388-F11	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279865.1	AG-388-I18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279785.1	AG-388-J02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279745.1	AG-388-L21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279795.1	AG-388-O02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278165.1	AG-390-A02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278145.1	AG-390-A19	OCS116	c__Alphaproteobacteria	NA	Berube
GCA_003279775.1	AG-390-A23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278125.1	AG-390-C22	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279715.1	AG-390-D18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279705.1	AG-390-I16	OCS116	c__Alphaproteobacteria	NA	Berube
GCA_003279685.1	AG-390-L03	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278095.1	AG-390-L20	SAR116	NA	NA	Berube
GCA_003279765.1	AG-390-M19	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278085.1	AG-390-O03	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003278065.1	AG-390-O04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279605.1	AG-390-O18	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003278045.1	AG-402-A04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279585.1	AG-402-A08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279655.1	AG-402-A21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278015.1	AG-402-B03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279635.1	AG-402-B05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278005.1	AG-402-B10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279615.1	AG-402-B19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279565.1	AG-402-C09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279535.1	AG-402-C22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279505.1	AG-402-E17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279485.1	AG-402-F05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003277985.1	AG-402-G06	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279495.1	AG-402-G08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279445.1	AG-402-G10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279455.1	AG-402-G19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003217035.1	AG-402-G22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003217005.1	AG-402-G23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216995.1	AG-402-I05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216975.1	AG-402-I20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216955.1	AG-402-I21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216935.1	AG-402-I22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216915.1	AG-402-I23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216875.1	AG-402-J18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216895.1	AG-402-K04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216855.1	AG-402-K05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216835.1	AG-402-K10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216815.1	AG-402-K14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216795.1	AG-402-K16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216775.1	AG-402-K21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216755.1	AG-402-K22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216715.1	AG-402-L09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216725.1	AG-402-L18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216695.1	AG-402-L19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216675.1	AG-402-L20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216635.1	AG-402-L23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216615.1	AG-402-M15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216595.1	AG-402-M18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216575.1	AG-402-M23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216535.1	AG-402-N08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216515.1	AG-402-N09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216465.1	AG-402-N10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216455.1	AG-402-N17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216435.1	AG-402-N21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216355.1	AG-402-N23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216415.1	AG-402-O16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216375.1	AG-402-O21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216335.1	AG-402-O23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216295.1	AG-402-P16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216275.1	AG-402-P18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216255.1	AG-404-N13	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003216235.1	AG-404-P07	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003216195.1	AG-404-P08	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003216175.1	AG-409-A10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216155.1	AG-409-A19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216135.1	AG-409-A22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003216095.1	AG-409-A23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216075.1	AG-409-B05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216055.1	AG-409-B09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003216035.1	AG-409-B13	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215985.1	AG-409-B20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215955.1	AG-409-C21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215975.1	AG-409-D06	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215935.1	AG-409-D09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215895.1	AG-409-D14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215865.1	AG-409-D20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215855.1	AG-409-E05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215815.1	AG-409-E23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003215795.1	AG-409-F19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215775.1	AG-409-G20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215725.1	AG-409-I11	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215715.1	AG-409-I21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215695.1	AG-409-J03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215675.1	AG-409-J11	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215655.1	AG-409-J16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215635.1	AG-409-J19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215595.1	AG-409-J23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215555.1	AG-409-K04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215545.1	AG-409-L14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215535.1	AG-409-L18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215475.1	AG-409-L21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215455.1	AG-409-M02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215435.1	AG-409-M05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215415.1	AG-409-N21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215355.1	AG-409-O23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215335.1	AG-409-P01	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215295.1	AG-409-P03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215315.1	AG-409-P19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003215215.1	AG-410-A08	SAR202	c__Dehalococcoidia	NA	Berube
GCA_003215235.1	AG-410-B18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003215185.1	AG-410-D23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003215175.1	AG-410-I20	Sva0996	NA	NA	Berube
GCA_003215115.1	AG-410-J13	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003215085.1	AG-410-J19	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003215075.1	AG-410-K21	Sva0996	NA	NA	Berube
GCA_003215055.1	AG-410-N23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214995.1	AG-410-P14	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003214955.1	AG-412-A14	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214975.1	AG-412-C21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214935.1	AG-412-F02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214875.1	AG-412-G19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214855.1	AG-412-I05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214835.1	AG-412-I20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214815.1	AG-412-J13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214755.1	AG-412-L10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214735.1	AG-412-N03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214715.1	AG-412-O03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214695.1	AG-412-P08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003214635.1	AG-414-C04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214615.1	AG-414-E02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214595.1	AG-414-G13	OCS155	NA	NA	Berube
GCA_003214555.1	AG-414-J22	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214525.1	AG-414-M23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214465.1	AG-414-N20	Sva0996	NA	NA	Berube
GCA_003214455.1	AG-414-O11	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003214435.1	AG-414-P03	OCS155	NA	NA	Berube
GCA_003214415.1	AG-418-B17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214355.1	AG-418-C09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214335.1	AG-418-C17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214315.1	AG-418-D13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214295.1	AG-418-F08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214235.1	AG-418-F16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214215.1	AG-418-G18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214195.1	AG-418-G23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214175.1	AG-418-I20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214115.1	AG-418-I21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214085.1	AG-418-J17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214075.1	AG-418-J19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003214055.1	AG-418-K17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213995.1	AG-418-L19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213975.1	AG-418-M05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213955.1	AG-418-M08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213935.1	AG-418-M21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213875.1	AG-418-O02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213855.1	AG-418-O03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213795.1	AG-418-P06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213815.1	AG-418-P13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213755.1	AG-420-M02	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003213715.1	AG-422-B15	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213695.1	AG-422-C23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213675.1	AG-422-D17	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003213615.1	AG-422-D23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213595.1	AG-422-E19	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003213555.1	AG-422-I02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213625.1	AG-422-J23	OCS155	NA	NA	Berube
GCA_003213535.1	AG-422-M16	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213515.1	AG-422-N09	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213495.1	AG-422-O05	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003213455.1	AG-422-P06	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003213435.1	AG-422-P13	OCS155	NA	NA	Berube
GCA_003213415.1	AG-422-P16	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003213375.1	AG-424-A03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003210175.1	AG-424-A14	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003210155.1	AG-424-E18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213355.1	AG-424-E20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003213315.1	AG-424-G03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213335.1	AG-424-J22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213295.1	AG-424-L22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213275.1	AG-424-M03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213255.1	AG-424-P16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213235.1	AG-424-P18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003210135.1	AG-424-P23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213215.1	AG-426-A02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003210115.1	AG-426-A06	SAR116	NA	NA	Berube
GCA_003213175.1	AG-426-B08	SAR116	NA	NA	Berube
GCA_003213165.1	AG-426-D23	OCS155	NA	NA	Berube
GCA_003210095.1	AG-426-E17	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213155.1	AG-426-G02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003210075.1	AG-426-G09	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003210055.1	AG-426-I14	SAR116	NA	NA	Berube
GCA_003213135.1	AG-426-I15	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213115.1	AG-426-L23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213095.1	AG-426-M11	SAR202	c__Dehalococcoidia	NA	Berube
GCA_003210025.1	AG-426-M19	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003210015.1	AG-426-P20	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003209995.1	AG-429-A02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213055.1	AG-429-C19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213045.1	AG-429-E20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003213035.1	AG-429-J03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209975.1	AG-429-P21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209955.1	AG-430-B22	OCS116	NA	NA	Berube
GCA_003209935.1	AG-430-C21	SAR202	c__Dehalococcoidia	NA	Berube
GCA_003209915.1	AG-430-E20	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003213015.1	AG-430-F16	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003209895.1	AG-430-I06	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003209875.1	AG-430-L02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212995.1	AG-430-M19	OCS155	NA	NA	Berube
GCA_003212965.1	AG-430-O18	OCS155	NA	NA	Berube
GCA_003212925.1	AG-430-P08	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212955.1	AG-432-A07	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212915.1	AG-432-B15	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209855.1	AG-432-D09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212885.1	AG-432-D11	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212855.1	AG-432-E11	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209835.1	AG-432-G10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212875.1	AG-432-K16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212835.1	AG-432-K17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209815.1	AG-432-O20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212795.1	AG-435-F03	OCS116	NA	NA	Berube
GCA_003212815.1	AG-435-G05	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212775.1	AG-435-N18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212715.1	AG-436-A02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212755.1	AG-436-A04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212725.1	AG-436-B23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209795.1	AG-436-C05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212695.1	AG-436-C13	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209755.1	AG-436-C14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212675.1	AG-436-D07	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212655.1	AG-436-D21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212615.1	AG-436-E22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212595.1	AG-436-F13	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212625.1	AG-436-J02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212575.1	AG-436-J08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212555.1	AG-436-K22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212515.1	AG-436-M02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209735.1	AG-436-N08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209775.1	AG-436-O09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212535.1	AG-436-O11	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212475.1	AG-436-O17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212495.1	AG-436-O20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212455.1	AG-436-P23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212435.1	AG-439-C09	SAR324	c__SAR324	NA	Berube
GCA_003212415.1	AG-439-F23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212395.1	AG-442-B03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209715.1	AG-442-D10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209655.1	AG-442-M23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209675.1	AG-442-N07	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212375.1	AG-442-N17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212345.1	AG-447-A06	SAR116	NA	NA	Berube
GCA_003212335.1	AG-447-A08	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003212315.1	AG-447-C21	SAR116	NA	NA	Berube
GCA_003212295.1	AG-447-E22	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003209665.1	AG-447-K02	SAR116	NA	NA	Berube
GCA_003212275.1	AG-447-N18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003209635.1	AG-447-N21	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003212245.1	AG-449-C14	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212235.1	AG-449-D16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209615.1	AG-449-D22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209585.1	AG-449-G23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209565.1	AG-449-J16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212215.1	AG-449-K21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212195.1	AG-449-O05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212175.1	AG-449-P16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212155.1	AG-450-D21	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003209555.1	AG-450-M17	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003209535.1	AG-455-B05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212125.1	AG-455-E04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212115.1	AG-455-E15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212095.1	AG-455-G08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209495.1	AG-455-O05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212065.1	AG-459-A01	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212055.1	AG-459-A02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209505.1	AG-459-A09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209475.1	AG-459-B06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209455.1	AG-459-C18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003212035.1	AG-459-D04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209425.1	AG-459-E08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209415.1	AG-459-J14	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211995.1	AG-459-J20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003212005.1	AG-459-M13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003209375.1	AG-459-N19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211975.1	AG-459-O03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211955.1	AG-459-O09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211925.1	AG-459-P02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211895.1	AG-459-P07	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003211875.1	AG-459-P16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211915.1	AG-459-P19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211855.1	AG-459-P20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003211835.1	AG-461-B04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003211815.1	AG-463-A20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003209355.1	AG-463-D13	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003211795.1	AG-463-D18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
